ID,Gender,Date of birth,School type,Occupation,Country,City,Status,Social status,Political views,Languages,Religion,Inspiration,What matters in people,What matters in life,Smoking,Alcohol,Avatar,Additional,Class,School type.1,Occupation.1,Status.1,Relationships,Languages.1,Religion.1,What matters in people.1,What matters in life.1,First post text
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
28533829.0,muzhskoi,!,!,!,rossija,ekaterinburg,QT!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c304109/v304109829/5914/sR0lRt-OjzA.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
64259652.0,zhenskii,36221.0,!,!,rossija,vidnoe,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c633329/v633329652/10606/dW_KQXNSAFk.jpg,vsja_sut,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
203600362.0,muzhskoi,43175.0,!,work,ukraina,dnepropetrovsk_(dnepr),"nacznite_blagodarit_boga_za_to,_czto_u_vas_est,_i_on_dast_vam_to,_czego_vam_ne_hvataet.",!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c629322/v629322362/3437f/OoHzbBBD89g.jpg,"i_vrode_by_est_komu_pozvonit,_no_ponimaesh,_czto_vsem_ne_do_tebja.",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
362667601.0,zhenskii,36911.0,!,!,rossija,!,pomni,vlublen,!,!,!,!,!,!,!,!,https://pp.userapi.com/c637216/v637216601/162dd/tgg4Y_yamW4.jpg,"tak_hotelo_by_s_toboi_pogovorit..._obo_vsem._czto_bylo,_czto_est_i_czto_budet._stolko_vsego_proizoshlo_za_vse_eto_vremja._za_eto_vremja,_v_kotorom_tebja_net._pustota_do_sih_por_vo_mne.._ja_ostalas_bez_tebja,_bez_moei_rodnoi_czasticzki..._ty_vsegda_v_moem_serdce.._skolko_by_ja_ne_plakala-prosti_za_eti_slezy._oczen_grustno_eto_osoznavat..",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
145383694.0,muzhskoi,!,!,!,rossija,moskva,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c628027/v628027694/1ce9f/mGh6Kc-MpbE.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
40820847.0,muzhskoi,43450.0,!,university,rossija,kazan,nu_czto_poidem_na_bljadki_navodit_porjadki,poisk,kommunisticzeskie,!,islam,muzyka,dobrota_i_czestnost,semja_i_deti,rezko_negativnoe,rezko_negativnoe,https://pp.userapi.com/c637227/v637227847/1a93d/6kzJ7FjB9s0.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
132237472.0,muzhskoi,43233.0,!,!,rossija,petrozavodsk,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c636623/v636623472/42fed/F6CS4AWYWro.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
164190566.0,muzhskoi,!,!,school,rossija,!,"idi_kuda_gljadjat_glaza,_no_tolko_ne_domoi_ja_za_toboi...",!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c604424/v604424566/3d7e/9cdSMLLlVkk.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
17536225.0,zhenskii,31679.0,!,work,rossija,moskva,nikto_ne_uhodit,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c305309/u17536225/a_a4d87b67.jpg,https://www.youtube.com/watch?v=g-voeq7cebo,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
349719422.0,zhenskii,36487.0,!,!,rossija,ulan-ude,😜,vlublen,!,!,!,!,!,!,!,!,https://pp.userapi.com/c626230/v626230422/1b1df/w5g1xvWQOSU.jpg,uznai_svoih_poklonnikov!_vk.com/app4236781_360805836#cf3_dostupno_na_android_📱_https://vk.cc/6ymywu_✅,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
143070213.0,zhenskii,43200.0,!,!,rossija,ufa,11.01.16:),!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c629225/v629225213/263b2/sSHUb-6YzLQ.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
170174603.0,zhenskii,!,!,!,rossija,sankt-peterburg,!,!,socialisticzeskie,!,svetskii gumanizm,!,smelost_i_uporstvo, krasota_i_iskusstvo,negativnoe,negativnoe,https://pp.userapi.com/c617631/v617631603/84d6/W6PLP1RbXmU.jpg,"my__pomnim_i_lubim_tebja,_rodnaja_nasha!!!!",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
70050809.0,muzhskoi,43365.0,!,university,rossija,ljambir,"master_ne_tot_kto_dostig_vershiny,_a_tot,_kto_vsegda_v_puti",!,liberalnye,!,pravoslavnyi,istorii uspeshnyh ludei,dobrota_i_czestnost,samorazvitie,rezko_negativnoe,rezko_negativnoe,https://pp.userapi.com/c636431/v636431809/358b6/sykIF0WtZ7c.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
8901052.0,zhenskii,43286.0,!,work,rossija,sankt-peterburg,☼φως~,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c626825/v626825052/1bcb9/3F_IkdiAvX0.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
368888688.0,muzhskoi,43164.0,!,!,angilja,!,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c841533/v841533806/14592/PZrcBoH7hx4.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
134072635.0,muzhskoi,32587.0,!,!,rossija,maloe_batyrevo,lublu_tebja__zaja_oczen_silno...,zhenat,umerennye,!,!,!,!,!,!,!,https://pp.userapi.com/c317727/u134072635/a_5cc3313a.jpg,"s_dnem_rozhdenija,_dorogoi_(((😢😢😢",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
286521197.0,muzhskoi,32309.0,!,work,rossija,kazan,~>bezumno_lublu_svou_semu<~,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c633529/v633529197/2fa03/rp5aRM1CgTI.jpg,"istinno_mogucz_tot,_kto_pobezhdaet_samogo_sebja",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
